"Position","Name","Type","Signal","Label","TIM2_REMAP2","TIM2_REMAP1","TIM1_REMAP1","TIM3_REMAP1","SPI1_REMAP1","TIM2_REMAP3","USART1_REMAP1"
"1","VDD","Power","","","","","","","","",""
"2","PD0-OSC_IN","I/O","","","","","","","","",""
"3","PD1-OSC_OUT","I/O","","","","","","","","",""
"4","NRST","Reset","","","","","","","","",""
"5","VSSA","Power","","","","","","","","",""
"6","VDDA","Power","","","","","","","","",""
"7","PA0-WKUP","I/O","","","TIM2_CH1/TIM2_ETR","","","","","",""
"8","PA1","I/O","","","TIM2_CH2","","","","","",""
"9","PA2","I/O","","","","TIM2_CH3","","","","",""
"10","PA3","I/O","","","","TIM2_CH4","","","","",""
"11","PA4","I/O","","","","","","","","",""
"12","PA5","I/O","","","","","","","","",""
"13","PA6","I/O","","","","","TIM1_BKIN","","","",""
"14","PA7","I/O","","","","","TIM1_CH1N","","","",""
"15","PB0","I/O","","","","","TIM1_CH2N","TIM3_CH3","","",""
"16","PB1","I/O","","","","","TIM1_CH3N","TIM3_CH4","","",""
"17","PB2","I/O","","","","","","","","",""
"18","VSS","Power","","","","","","","","",""
"19","VDD","Power","","","","","","","","",""
"20","PA8","I/O","","","","","TIM1_CH1","","","",""
"21","PA9","I/O","","","","","TIM1_CH2","","","",""
"22","PA10","I/O","","","","","TIM1_CH3","","","",""
"23","PA11","I/O","","","","","TIM1_CH4","","","",""
"24","PA12","I/O","","","","","TIM1_ETR","","","",""
"25","PA13","I/O","","","","","","","","",""
"26","VSS","Power","","","","","","","","",""
"27","VDD","Power","","","","","","","","",""
"28","PA14","I/O","","","","","","","","",""
"29","PA15","I/O","","","","TIM2_CH1/TIM2_ETR","","","SPI1_NSS","TIM2_CH1/TIM2_ETR",""
"30","PB3","I/O","","","","TIM2_CH2","","","SPI1_SCK","TIM2_CH2",""
"31","PB4","I/O","","","","","","TIM3_CH1","SPI1_MISO","",""
"32","PB5","I/O","","","","","","TIM3_CH2","SPI1_MOSI","",""
"33","PB6","I/O","","","","","","","","","USART1_TX"
"34","PB7","I/O","","","","","","","","","USART1_RX"
"35","BOOT0","Boot","","","","","","","","",""
"36","VSS","Power","","","","","","","","",""
