"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13-ANTI_TAMP","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"3","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"4","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"5","PH0 - OSC_IN","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"6","PH1 - OSC_OUT","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"9","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"10","PA0-WKUP","I/O","","","","","TIM5_CH1","","","","","USART2_CTS","","","","","","","","EVENTOUT"
"11","PA1","I/O","","","","","TIM5_CH2","","","","","USART2_RTS","","","","","","","","EVENTOUT"
"12","PA2","I/O","","","","","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","","","","","EVENTOUT"
"13","PA3","I/O","","","","","TIM5_CH4","TIM9_CH2","","I2S2_MCK","","USART2_RX","","","","","","","","EVENTOUT"
"14","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","","USART2_CK","","","","","","","","EVENTOUT"
"15","PA5","I/O","","","","","","","","I2S1_CK/SPI1_SCK","","","","","","","","","","EVENTOUT"
"16","PA6","I/O","","","","TIM1_BKIN","","","","SPI1_MISO","I2S2_MCK","","","","","","","","","EVENTOUT"
"17","PA7","I/O","","","","TIM1_CH1N","","","","I2S1_SD/SPI1_MOSI","","","","","","","","","","EVENTOUT"
"18","PB0","I/O","","","","TIM1_CH2N","","","","","I2S5_CK/SPI5_SCK","","","","","","","","","EVENTOUT"
"19","PB1","I/O","","","","TIM1_CH3N","","","","","I2S5_WS/SPI5_NSS","","","","","","","","","EVENTOUT"
"20","PB2","I/O","","","","LPTIM1_OUT","","","","","","","","","","","","","","EVENTOUT"
"21","PB10","I/O","","","","","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S1_MCK","","","FMPI2C1_SCL","","","","","","EVENTOUT"
"22","VCAP1","Power","","","","","","","","","","","","","","","","","",""
"23","VSS","Power","","","","","","","","","","","","","","","","","",""
"24","VDD","Power","","","","","","","","","","","","","","","","","",""
"25","PB12","I/O","","","","TIM1_BKIN","TIM5_CH1","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","","","","","","","","","EVENTOUT"
"26","PB13","I/O","","","","TIM1_CH1N","","","FMPI2C1_SMBA","I2S2_CK/SPI2_SCK","","","","","","","","","","EVENTOUT"
"27","PB14","I/O","","","","TIM1_CH2N","","","FMPI2C1_SDA","SPI2_MISO","","","","","","","","","","EVENTOUT"
"28","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","FMPI2C1_SCL","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"29","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","FMPI2C1_SCL","","","USART1_CK","","","","","","","","EVENTOUT"
"30","PA9","I/O","","","","TIM1_CH2","","","","","","USART1_TX","","","","","","","","EVENTOUT"
"31","PA10","I/O","","","","TIM1_CH3","","","","","I2S5_SD/SPI5_MOSI","USART1_RX","","","","","","","","EVENTOUT"
"32","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","USART6_TX","","","","","","","EVENTOUT"
"33","PA12","I/O","","","","TIM1_ETR","","","","","SPI5_MISO","USART1_RTS","USART6_RX","","","","","","","EVENTOUT"
"34","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"35","VSS","Power","","","","","","","","","","","","","","","","","",""
"36","VDD","Power","","","","","","","","","","","","","","","","","",""
"37","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"38","PA15","I/O","","","SYS_JTDI","","","","","I2S1_WS/SPI1_NSS","","USART1_TX","","","","","","","","EVENTOUT"
"39","PB3","I/O","","","SYS_JTDO-SWO","","","","FMPI2C1_SDA","I2S1_CK/SPI1_SCK","","USART1_RX","","I2C2_SDA","","","","","","EVENTOUT"
"40","PB4","I/O","","","SYS_JTRST","","","","","SPI1_MISO","","","","","","","","","","EVENTOUT"
"41","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","","","","","","","","","","EVENTOUT"
"42","PB6","I/O","","","","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
"43","PB7","I/O","","","","LPTIM1_IN2","","","I2C1_SDA","","","USART1_RX","","","","","","","","EVENTOUT"
"44","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"45","PB8","I/O","","","","LPTIM1_OUT","","","I2C1_SCL","","I2S5_SD/SPI5_MOSI","","","","","","","","","EVENTOUT"
"46","PB9","I/O","","","","","","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","I2C2_SDA","","","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
